序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
897,2023,微型项目,1.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
898,2023,微型项目,0.5,0.97,0.78,0.18999999999999995,代理商,华南,,,,,,,,
899,2023,微型项目,0.7,0.97,0.8,0.16999999999999993,代理商,华南,,,,,,,,
900,2023,小型项目,11.0,0.97,0.8636,0.10639999999999994,直签,华北,,,,,,,,
901,2023,微型项目,6.0,0.9,0.9167,-0.016699999999999937,代理商,华北,,,,,,,,
902,2023,微型项目,4.1,0.97,0.4146,0.5553999999999999,代理商,华北,,,,,,,,
903,2023,微型项目,1.5,0.97,0.9267,0.043300000000000005,直签,华北,,,,,,,,
904,2023,微型项目,0.8,0.97,0.8625,0.10749999999999993,代理商,华南,,,,,,,,
905,2023,微型项目,1.5,0.97,0.7067,0.2633,代理商,华东,,,,,,,,
906,2023,微型项目,1.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
907,2023,微型项目,0.7,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
908,2023,小型项目,13.5,0.97,0.9378,0.032200000000000006,代理商,华南,,,,,,,,
909,2023,中型项目,85.0,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
910,2023,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
911,2023,微型项目,4.4,0.97,0.6,0.37,直签,华东,,,,,,,,
912,2023,中型项目,35.8,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,,,,
0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,,,,
0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,,,,
